irrigation_block,phenological_stage,replication,Fruit_Weight,Fruit_Length,Fruit_Diameter,Fruit_Shape_LD_Ratio,Yield,Fruit_Count_per_Vine,TCSA,Trunk_Girth,Yield_Efficiency,Fruit_Volume,Proline,Leaf_Potassium,Ascorbic_Acid,Initial_Bloom,Final_Bloom,Bloom_Intensity,experimental_condition
I1,S1,1.0,80.9,66.9,48.3,1.39,50.72,627.0,97.48,35.0,0.52,84.0,1.69,2.45,77.7,9.0,17.0,0.71,I1_S1
I1,S1,2.0,80.2,66.3,47.8,1.5,50.29,627.0,98.6,35.2,0.51,85.0,1.74,2.43,76.3,9.0,17.0,0.72,I1_S1
I1,S1,3.0,80.3,71.8,47.8,1.5,50.35,627.0,97.48,35.0,0.52,83.0,1.71,2.46,77.2,9.0,17.0,0.71,I1_S1
I1,S2,1.0,80.4,66.5,46.4,1.43,49.85,620.0,100.29,35.5,0.5,83.0,1.75,2.43,76.2,9.0,17.0,0.65,I1_S2
I1,S2,2.0,80.0,69.0,47.7,1.45,49.68,621.0,93.62,34.3,0.53,84.0,1.68,2.42,77.3,9.0,17.0,0.65,I1_S2
I1,S2,3.0,79.6,68.8,52.4,1.31,49.35,620.0,97.48,35.0,0.51,82.0,1.72,2.43,76.5,9.0,17.0,0.65,I1_S2
I1,S3,1.0,78.9,66.4,45.4,1.46,50.18,636.0,98.6,35.2,0.51,86.0,1.8,2.42,76.3,9.0,17.0,0.8,I1_S3
I1,S3,2.0,79.2,67.2,46.4,1.45,50.37,636.0,104.86,36.3,0.48,84.0,1.76,2.46,77.2,9.0,17.0,0.8,I1_S3
I1,S3,3.0,80.7,67.3,45.6,1.48,51.38,636.51,89.31,33.5,0.57,85.0,1.72,2.45,76.5,9.0,17.0,0.8,I1_S3
I1,S4,1.0,81.4,68.9,50.8,1.36,51.77,636.0,110.12,37.2,0.48,91.0,1.79,2.44,78.2,9.0,17.0,0.8,I1_S4
I1,S4,2.0,82.3,70.2,51.7,1.36,52.34,636.0,106.02,36.5,0.5,93.0,1.82,2.43,77.6,9.0,17.0,0.8,I1_S4
I1,S4,3.0,82.5,69.9,50.5,1.38,52.55,637.0,107.77,36.8,0.49,92.0,1.83,2.42,77.5,9.0,17.0,0.8,I1_S4
I2,S1,1.0,75.4,62.4,44.4,1.41,46.75,620.0,89.84,33.6,0.52,81.0,2.98,2.36,74.3,10.0,18.0,0.65,I2_S1
I2,S1,2.0,76.2,63.3,45.7,1.39,47.4,622.0,89.31,33.5,0.53,82.0,2.89,2.38,73.6,10.0,18.0,0.65,I2_S1
I2,S1,3.0,75.5,63.9,46.4,1.38,46.89,621.0,87.19,33.1,0.54,81.0,3.01,2.37,73.7,10.0,18.0,0.65,I2_S1
I2,S2,1.0,75.2,60.5,37.6,1.61,46.25,615.0,93.62,34.3,0.49,80.0,3.02,2.39,73.2,10.0,18.0,0.59,I2_S2
I2,S2,2.0,74.8,60.5,40.3,1.5,45.78,612.0,96.37,34.8,0.48,81.0,3.12,2.34,73.9,10.0,18.0,0.59,I2_S2
I2,S2,3.0,75.0,60.9,38.3,1.59,45.9,612.0,90.91,33.8,0.5,80.0,3.15,2.33,72.6,10.0,18.0,0.59,I2_S2
I2,S3,1.0,76.2,62.4,42.5,1.47,48.45,635.7,93.62,34.3,0.51,81.0,3.45,2.36,72.7,10.0,18.0,0.79,I2_S3
I2,S3,2.0,77.1,63.2,41.2,1.53,49.02,635.8,95.27,34.6,0.51,82.0,3.34,2.37,72.1,10.0,18.0,0.79,I2_S3
I2,S3,3.0,76.5,64.2,41.1,1.56,48.64,635.84,88.77,33.4,0.54,80.0,3.54,2.34,72.4,10.0,18.0,0.79,I2_S3
I2,S4,1.0,75.3,63.0,41.2,1.53,47.91,636.3,88.24,33.3,0.55,82.0,3.57,2.37,73.2,10.0,19.0,0.79,I2_S4
I2,S4,2.0,74.4,63.5,40.7,1.56,47.36,636.4,96.37,34.8,0.49,81.0,3.46,2.36,72.7,10.0,19.0,0.79,I2_S4
I2,S4,3.0,75.4,62.9,41.1,1.53,47.99,636.45,93.08,34.2,0.52,82.0,3.52,2.35,73.5,10.0,19.0,0.79,I2_S4
I3,S1,1.0,72.3,57.8,41.6,1.39,44.18,611.0,77.96,31.3,0.57,80.0,4.97,2.32,70.3,11.0,20.0,0.55,I3_S1
I3,S1,2.0,70.6,59.7,41.1,1.45,43.13,611.0,77.96,31.3,0.55,79.0,4.88,2.34,71.7,11.0,20.0,0.55,I3_S1
I3,S1,3.0,69.4,58.9,41.0,1.44,42.47,612.0,76.47,31.0,0.56,79.0,4.85,2.31,70.3,11.0,20.0,0.55,I3_S1
I3,S2,1.0,70.2,57.8,41.5,1.39,42.54,606.0,76.47,31.0,0.56,80.0,4.99,2.29,69.7,11.0,20.0,0.46,I3_S2
I3,S2,2.0,69.9,59.8,41.9,1.43,42.56,609.0,77.96,31.3,0.55,80.0,5.12,2.29,69.9,11.0,20.0,0.46,I3_S2
I3,S2,3.0,70.3,60.7,41.4,1.47,42.53,605.0,80.98,31.9,0.53,79.0,5.2,2.27,70.4,11.0,20.0,0.46,I3_S2
I3,S3,1.0,67.2,56.9,40.7,1.4,42.68,635.1,77.96,31.3,0.53,75.0,5.55,2.26,68.5,12.0,20.0,0.78,I3_S3
I3,S3,2.0,67.3,57.8,40.5,1.43,42.75,635.2,77.46,31.2,0.54,76.0,5.76,2.28,69.6,12.0,20.0,0.78,I3_S3
I3,S3,3.0,68.4,58.5,40.1,1.46,43.45,635.27,77.96,31.3,0.54,76.0,5.84,2.29,69.5,12.0,20.0,0.78,I3_S3
I3,S4,1.0,68.0,57.4,42.4,1.35,43.28,636.4,78.96,31.5,0.53,78.0,5.87,2.25,68.4,12.0,21.0,0.78,I3_S4
I3,S4,2.0,68.2,58.5,42.7,1.37,43.42,636.5,77.46,31.2,0.54,79.0,5.96,2.28,68.9,12.0,21.0,0.78,I3_S4
I3,S4,3.0,67.9,57.7,40.8,1.41,43.23,636.57,79.46,31.6,0.53,77.0,5.92,2.29,69.2,12.0,21.0,0.78,I3_S4
