record_id,irrigation_treatment,phenological_stage,replication
1,T1,Main,1.0
2,T2,Main,1.0
3,T3,Main,1.0
4,T4,Main,1.0
5,T5,Main,1.0
6,T6,Main,1.0
7,T7,Main,1.0
8,T8,Main,1.0
9,T9,Main,1.0
10,T10,Main,1.0
11,T11,Main,1.0
12,T12,Main,1.0
13,T1,I1,1.0
14,T2,I1,1.0
15,T3,I1,1.0
16,T4,I1,1.0
17,T5,I1,1.0
18,T6,I1,1.0
19,T7,I1,1.0
20,T8,I1,1.0
21,T9,I1,1.0
22,T10,I1,1.0
23,T11,I1,1.0
24,T12,I1,1.0
25,T1,I2,1.0
26,T2,I2,1.0
27,T3,I2,1.0
28,T4,I2,1.0
29,T5,I2,1.0
30,T6,I2,1.0
31,T7,I2,1.0
32,T8,I2,1.0
33,T9,I2,1.0
34,T10,I2,1.0
35,T11,I2,1.0
36,T12,I2,1.0
37,T13,I3,2.0
38,T1,I3,2.0
39,T2,I3,2.0
40,T3,I3,2.0
41,T4,I3,2.0
42,T5,I3,2.0
43,T6,I3,2.0
44,T7,I3,2.0
45,T8,I3,2.0
46,T9,I3,2.0
47,T10,I3,2.0
48,T11,I3,2.0
49,T13,I1,2.0
50,T1,I1,2.0
51,T2,I1,2.0
52,T3,I1,2.0
53,T4,I1,2.0
54,T5,I1,2.0
55,T6,I1,2.0
56,T7,I1,2.0
57,T8,I1,2.0
58,T9,I1,2.0
59,T10,I1,2.0
60,T11,I1,2.0
61,T13,I2,2.0
62,T1,I2,2.0
63,T2,I2,2.0
64,T3,I2,2.0
65,T4,I2,2.0
66,T5,I2,2.0
67,T6,I2,2.0
68,T7,I2,2.0
69,T8,I2,2.0
70,T9,I2,2.0
71,T10,I2,2.0
72,T11,I2,2.0
73,T12,I3,3.0
74,T13,I3,3.0
75,T1,I3,3.0
76,T2,I3,3.0
77,T3,I3,3.0
78,T4,I3,3.0
79,T5,I3,3.0
80,T6,I3,3.0
81,T7,I3,3.0
82,T8,I3,3.0
83,T9,I3,3.0
84,T10,I3,3.0
85,T12,I1,3.0
86,T13,I1,3.0
87,T1,I1,3.0
88,T2,I1,3.0
89,T3,I1,3.0
90,T4,I1,3.0
91,T5,I1,3.0
92,T6,I1,3.0
93,T7,I1,3.0
94,T8,I1,3.0
95,T9,I1,3.0
96,T10,I1,3.0
97,T12,I2,3.0
98,T13,I2,3.0
99,T1,I2,3.0
100,T2,I2,3.0
101,T3,I2,3.0
102,T4,I2,3.0
103,T5,I2,3.0
104,T6,I2,3.0
105,T7,I2,3.0
106,T8,I2,3.0
107,T9,I2,3.0
108,T10,I2,3.0
109,T11,I3,nan
110,T12,I3,nan
111,T13,I3,nan
112,T1,,1.0
113,T2,,1.0
114,T3,,1.0
115,T4,,1.0
116,T5,,1.0
117,T6,,1.0
118,T7,,1.0
119,T8,,1.0
120,T9,,1.0
121,T10,,1.0
122,T11,,1.0
123,T12,,1.0
124,T1,I1,1.0
125,T2,I1,1.0
126,T3,I1,1.0
127,T4,I1,1.0
128,T5,I1,1.0
129,T6,I1,1.0
130,T7,I1,1.0
131,T8,I1,1.0
132,T9,I1,1.0
133,T10,I1,1.0
134,T11,I1,1.0
135,T12,I1,1.0
136,T1,I2,1.0
137,T2,I2,1.0
138,T3,I2,1.0
139,T4,I2,1.0
140,T5,I2,1.0
141,T6,I2,1.0
142,T7,I2,1.0
143,T8,I2,1.0
144,T9,I2,1.0
145,T10,I2,1.0
146,T11,I2,1.0
147,T12,I2,1.0
148,T13,I3,2.0
149,T1,I3,2.0
150,T2,I3,2.0
151,T3,I3,2.0
152,T4,I3,2.0
153,T5,I3,2.0
154,T6,I3,2.0
155,T7,I3,2.0
156,T8,I3,2.0
157,T9,I3,2.0
158,T10,I3,2.0
159,T11,I3,2.0
160,T13,I1,2.0
161,T1,I1,2.0
162,T2,I1,2.0
163,T3,I1,2.0
164,T4,I1,2.0
165,T5,I1,2.0
166,T6,I1,2.0
167,T7,I1,2.0
168,T8,I1,2.0
169,T9,I1,2.0
170,T10,I1,2.0
171,T11,I1,2.0
172,T13,I2,2.0
173,T1,I2,2.0
174,T2,I2,2.0
175,T3,I2,2.0
176,T4,I2,2.0
177,T5,I2,2.0
178,T6,I2,2.0
179,T7,I2,2.0
180,T8,I2,2.0
181,T9,I2,2.0
182,T10,I2,2.0
183,T11,I2,2.0
184,T12,I3,3.0
185,T13,I3,3.0
186,T1,I3,3.0
187,T2,I3,3.0
188,T3,I3,3.0
189,T4,I3,3.0
190,T5,I3,3.0
191,T6,I3,3.0
192,T7,I3,3.0
193,T8,I3,3.0
194,T9,I3,3.0
195,T10,I3,3.0
196,T12,I1,3.0
197,T13,I1,3.0
198,T1,I1,3.0
199,T2,I1,3.0
200,T3,I1,3.0
201,T4,I1,3.0
202,T5,I1,3.0
203,T6,I1,3.0
204,T7,I1,3.0
205,T8,I1,3.0
206,T9,I1,3.0
207,T10,I1,3.0
208,T12,I2,3.0
209,T13,I2,3.0
210,T1,I2,3.0
211,T2,I2,3.0
212,T3,I2,3.0
213,T4,I2,3.0
214,T5,I2,3.0
215,T6,I2,3.0
216,T7,I2,3.0
217,T8,I2,3.0
218,T9,I2,3.0
219,T10,I2,3.0
220,T11,I3,nan
221,T12,I3,nan
222,T13,I3,nan
223,T11,I1,nan
224,T12,I1,nan
225,T13,I1,nan
226,T11,I2,nan
227,T12,I2,nan
228,T13,I2,nan
229,T11,I3,nan
230,T12,I3,nan
231,T13,I3,nan
232,T11,I1,nan
233,T12,I1,nan
234,T13,I1,nan
235,T11,I2,nan
236,T12,I2,nan
237,T13,I2,nan
238,T11,I3,nan
239,T12,I3,nan
240,T13,I3,nan
241,T11,I1,nan
242,T12,I1,nan
243,T13,I1,nan
244,T11,I2,nan
245,T12,I2,nan
246,T13,I2,nan
247,T11,I3,nan
248,T12,I3,nan
249,T13,I3,nan
250,T11,I1,nan
251,T12,I1,nan
252,T13,I1,nan
253,T11,I2,nan
254,T12,I2,nan
255,T13,I2,nan
256,T11,I3,nan
257,T12,I3,nan
258,T13,I3,nan
259,T11,I1,nan
260,T12,I1,nan
261,T13,I1,nan
262,T11,I2,nan
