,Model,Accuracy,Accuracy Mean,Accuracy SD,Balanced Accuracy,Balanced Accuracy Mean,Balanced Accuracy SD,F1 Macro,F1 Macro Mean,F1 Macro SD,MCC
0,Logistic Regression,1,0.9885714285714287,0.0387561713321444,1,0.9911111111111112,0.030143688813890093,1,0.9893333333333334,0.036172426576668096,1
1,LDA,1,1,0,1,1,0,1,1,0,1
2,QDA,1,0.9971428571428572,0.020000000000000007,1,0.9966666666666666,0.023333333333333327,1,0.9968253968253968,0.02222222222222222,1
3,KNN,1,0.9975,0.017499999999999998,1,0.9977777777777778,0.015555555555555559,1,0.9973333333333333,0.01866666666666666,1
4,Linear SVM,1,1,0,1,1,0,1,1,0,1
5,SVM (RBF),1,1,0,1,1,0,1,1,0,1
6,Naive Bayes,1,1,0,1,1,0,1,1,0,1
7,Random Forest,1,1,0,1,1,0,1,1,0,1
8,Extra Trees,1,1,0,1,1,0,1,1,0,1
9,Gradient Boosting,1,1,0,1,1,0,1,1,0,1
