record_id,Unnamed: 0_data1,Main_data1,Sub_data1,Interval,Replication,Unnamed: 5,Unnamed: 6,Main.1,Sub.1,Intervals,Rep,Unnamed: 11,Stage 3,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Stage 4,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 0_data2,Unnamed: 1,Unnamed: 2,Unnamed: 3,Main_data2,Sub_data2,Unnamed: 8,Treat,Rep.1,Unnamed: 12
1,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,,R1,R2,R3,I1,S1,80.9,T1,1,80.9
2,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T1,80.9,80.2,80.3,I1,S2,80.4,T2,1,80.4
3,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T2,80.4,80,79.6,I1,S3,78.9,T3,1,78.9
4,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T3,78.9,79.2,80.7,I1,S4,81.4,T4,1,81.4
5,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T4,81.4,82.3,82.5,I2,S1,75.4,T5,1,75.4
6,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T5,75.4,76.2,75.5,I2,S2,75.2,T6,1,75.2
7,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T6,75.2,74.8,75,I2,S3,76.2,T7,1,76.2
8,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T7,76.2,77.1,76.5,I2,S4,75.3,T8,1,75.3
9,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T8,75.3,74.4,75.4,I3,S1,72.3,T9,1,72.3
10,Stage1,I1,S1,1.0,1.0,32.3,Stage 2,I1,S2,3.0,1.0,38.7,Main,Sub,Interval,Replication,,Main,Sub,Interval,Replication,,T9,72.3,70.6,69.4,I3,S2,70.2,T10,1,70.2
