Proline,Leaf_Potassium,TCSA,Trunk_Girth,Initial_Bloom,Final_Bloom,Bloom_Intensity,stress_condition,stress_severity,irrigation_block,irrigation_fc,phenological_stage,replication
1.69,2.45,97.48,35.0,9.0,17.0,0.71,Low_Stress,0,I1,80,S1,1.0
1.74,2.43,98.6,35.2,9.0,17.0,0.72,Low_Stress,0,I1,80,S1,2.0
1.71,2.46,97.48,35.0,9.0,17.0,0.71,Low_Stress,0,I1,80,S1,3.0
1.75,2.43,100.29,35.5,9.0,17.0,0.65,Low_Stress,0,I1,80,S2,1.0
1.68,2.42,93.62,34.3,9.0,17.0,0.65,Low_Stress,0,I1,80,S2,2.0
1.72,2.43,97.48,35.0,9.0,17.0,0.65,Low_Stress,0,I1,80,S2,3.0
1.8,2.42,98.6,35.2,9.0,17.0,0.8,Low_Stress,0,I1,80,S3,1.0
1.76,2.46,104.86,36.3,9.0,17.0,0.8,Low_Stress,0,I1,80,S3,2.0
1.72,2.45,89.31,33.5,9.0,17.0,0.8,Low_Stress,0,I1,80,S3,3.0
1.79,2.44,110.12,37.2,9.0,17.0,0.8,Low_Stress,0,I1,80,S4,1.0
1.82,2.43,106.02,36.5,9.0,17.0,0.8,Low_Stress,0,I1,80,S4,2.0
1.83,2.42,107.77,36.8,9.0,17.0,0.8,Low_Stress,0,I1,80,S4,3.0
2.98,2.36,89.84,33.6,10.0,18.0,0.65,Moderate_Stress,1,I2,65,S1,1.0
2.89,2.38,89.31,33.5,10.0,18.0,0.65,Moderate_Stress,1,I2,65,S1,2.0
3.01,2.37,87.19,33.1,10.0,18.0,0.65,Moderate_Stress,1,I2,65,S1,3.0
3.02,2.39,93.62,34.3,10.0,18.0,0.59,Moderate_Stress,1,I2,65,S2,1.0
3.12,2.34,96.37,34.8,10.0,18.0,0.59,Moderate_Stress,1,I2,65,S2,2.0
3.15,2.33,90.91,33.8,10.0,18.0,0.59,Moderate_Stress,1,I2,65,S2,3.0
3.45,2.36,93.62,34.3,10.0,18.0,0.79,Moderate_Stress,1,I2,65,S3,1.0
3.34,2.37,95.27,34.6,10.0,18.0,0.79,Moderate_Stress,1,I2,65,S3,2.0
3.54,2.34,88.77,33.4,10.0,18.0,0.79,Moderate_Stress,1,I2,65,S3,3.0
3.57,2.37,88.24,33.3,10.0,19.0,0.79,Moderate_Stress,1,I2,65,S4,1.0
3.46,2.36,96.37,34.8,10.0,19.0,0.79,Moderate_Stress,1,I2,65,S4,2.0
3.52,2.35,93.08,34.2,10.0,19.0,0.79,Moderate_Stress,1,I2,65,S4,3.0
4.97,2.32,77.96,31.3,11.0,20.0,0.55,High_Stress,2,I3,50,S1,1.0
4.88,2.34,77.96,31.3,11.0,20.0,0.55,High_Stress,2,I3,50,S1,2.0
4.85,2.31,76.47,31.0,11.0,20.0,0.55,High_Stress,2,I3,50,S1,3.0
4.99,2.29,76.47,31.0,11.0,20.0,0.46,High_Stress,2,I3,50,S2,1.0
5.12,2.29,77.96,31.3,11.0,20.0,0.46,High_Stress,2,I3,50,S2,2.0
5.2,2.27,80.98,31.9,11.0,20.0,0.46,High_Stress,2,I3,50,S2,3.0
5.55,2.26,77.96,31.3,12.0,20.0,0.78,High_Stress,2,I3,50,S3,1.0
5.76,2.28,77.46,31.2,12.0,20.0,0.78,High_Stress,2,I3,50,S3,2.0
5.84,2.29,77.96,31.3,12.0,20.0,0.78,High_Stress,2,I3,50,S3,3.0
5.87,2.25,78.96,31.5,12.0,21.0,0.78,High_Stress,2,I3,50,S4,1.0
5.96,2.28,77.46,31.2,12.0,21.0,0.78,High_Stress,2,I3,50,S4,2.0
5.92,2.29,79.46,31.6,12.0,21.0,0.78,High_Stress,2,I3,50,S4,3.0
